Start,End,Iteration,CPU Cores,CPU Load
1682172650,1682172714,1,16,10
1682172714,1682172778,1,16,20
1682172778,1682172842,1,16,30
1682172842,1682172906,1,16,40
1682172906,1682172970,1,16,50
1682172970,1682173034,1,16,60
1682173034,1682173098,1,16,70
1682173098,1682173163,1,16,80
1682173163,1682173227,1,16,90
1682173227,1682173291,1,16,100
1682233959,1682234023,1,16,10
1682234023,1682234087,1,16,20
1682234087,1682234151,1,16,30
1682234151,1682234215,1,16,40
1682234215,1682234279,1,16,50
1682234279,1682234344,1,16,60
1682234344,1682234408,1,16,70
1682234408,1682234472,1,16,80
1682234472,1682234536,1,16,90
1682234536,1682234600,1,16,100
1682538975,1682539039,1,16,10
1682539039,1682539104,1,16,20
1682539104,1682539168,1,16,30
1682539168,1682539232,1,16,40
1682539232,1682539296,1,16,50
1682539296,1682539360,1,16,60
1682539360,1682539424,1,16,70
1682539424,1682539488,1,16,80
1682539488,1682539552,1,16,90
1682539552,1682539616,1,16,100
1682542465,1682542529,1,16,10
1682542529,1682542593,1,16,20
1682542593,1682542657,1,16,30
1682542657,1682542722,1,16,40
1682542722,1682542786,1,16,50
1682542786,1682542850,1,16,60
1682542850,1682542914,1,16,70
1682542914,1682542978,1,16,80
1682542978,1682543042,1,16,90
1682543042,1682543106,1,16,100
1682545951,1682546015,1,16,10
1682546015,1682546079,1,16,20
1682546079,1682546144,1,16,30
1682546144,1682546208,1,16,40
1682546208,1682546272,1,16,50
1682546272,1682546336,1,16,60
1682546336,1682546400,1,16,70
1682546400,1682546464,1,16,80
1682546464,1682546528,1,16,90
1682546528,1682546592,1,16,100
1682549437,1682549502,1,16,10
1682549502,1682549566,1,16,20
1682549566,1682549630,1,16,30
1682549630,1682549694,1,16,40
1682549694,1682549758,1,16,50
1682549758,1682549822,1,16,60
1682549822,1682549887,1,16,70
1682549887,1682549951,1,16,80
1682549951,1682550015,1,16,90
1682550015,1682550079,1,16,100
1682552923,1682552988,1,16,10
1682552988,1682553052,1,16,20
1682553052,1682553116,1,16,30
1682553116,1682553180,1,16,40
1682553180,1682553244,1,16,50
1682553244,1682553308,1,16,60
1682553308,1682553373,1,16,70
1682553373,1682553437,1,16,80
1682553437,1682553501,1,16,90
1682553501,1682553565,1,16,100
